"","P1k","S1k","IA","Information","P1k*S1k","P2k","S2k","P2k*S2k","Uscore"
"1",0.868965517241379,0.249655172413793,10,25,0.216941736028537,0.965400271370421,0.280868385345997,0.271150415432398,0.216941736028537
"2",0.907608695652174,0.490384615384615,11,27.5,0.445077341137124,0.974760661444734,0.32550043516101,0.317285019478095,0.445077341137124
"3",0.895398773006135,0.326687116564417,12,30,0.292515243328691,0.986013986013986,0.728438228438228,0.718250281187344,0.292515243328691
"4",0.931807985643786,0.649618663077613,13,32.5,0.60531985787896,0.969574036511156,0.316937119675456,0.307294002443952,0.60531985787896
"5",0.919609821728893,0.553649512277161,14,35,0.509141529285489,0.981143934632307,0.364550597108737,0.357676607219823,0.509141529285489
"6",0.90111891751236,0.392922196200885,15,37.5,0.35406962410712,0.987044534412955,0.42834008097166,0.42279073579308,0.35406962410712
"7",0.940684133915575,0.643377001455604,16,40,0.605214537395464,0.988900100908174,0.470232088799193,0.465012560063783,0.605214537395464
"8",0.925385934819897,0.505431675242996,17,42.5,0.467719363282326,0.984977466199299,0.296444667000501,0.291991316970448,0.467719363282326
"9",0.913849004168597,0.471746178786475,18,45,0.431104775704361,0.988235294117647,0.36656346749226,0.362250956109998,0.431104775704361
"10",0.947255443115609,0.694878871511806,19,47.5,0.65822779334559,0.994615384615385,0.427692307692308,0.425389349112426,0.65822779334559
"11",0.936728006049912,0.526594403831611,20,50,0.493275725898227,0.996153846153846,0.493269230769231,0.491372041420118,0.493275725898227
"12",0.91984651460243,0.522916222553827,21,52.5,0.481002664745206,1,0.756394640682095,0.756394640682095,0.481002664745206
"13",0.952045516120293,0.721484692495259,22,55,0.686886266439539,0.998777506112469,0.37958435207824,0.379120312528022,0.686886266439539
"14",0.940562613430127,0.57032667876588,23,57.5,0.536427951488961,0.999245852187029,0.447209653092006,0.446872390910187,0.536427951488961
"15",0.970110272780035,0.811665699361579,24,60,0.787405233013859,1,0.501387604070305,0.501387604070305,0.787405233013859
"16",0.95964783565664,0.717534849596478,25,62.5,0.688580765423473,1,0.545762711864407,0.545762711864407,0.688580765423473
"17",0.95169795401814,0.589327146171694,26,65,0.56086143925895,1,0.41884150222788,0.41884150222788,0.56086143925895
"18",0.979575805184603,0.781618224666143,27,67.5,0.765654301774297,1,0.477099236641221,0.477099236641221,0.765654301774297
"19",0.971007927519819,0.676104190260476,28,70,0.65650252857229,1,0.541666666666667,0.541666666666667,0.65650252857229
"20",0.962055335968379,0.656521739130435,29,72.5,0.631610242309675,1,0.670103092783505,0.670103092783505,0.631610242309675
"21",0.985224022878932,0.817445185891325,30,75,0.805366634526868,1,0.471465629053178,0.471465629053178,0.805366634526868
"22",0.979101358411703,0.716823406478579,31,77.5,0.701842771024481,1,0.527583527583528,0.527583527583528,0.701842771024481
"23",0.969362974033252,0.702783485895759,32,80,0.681252289989369,1,0.580916744621141,0.580916744621141,0.681252289989369
"24",0.957612750084775,0.658358765683282,33,82.5,0.630452748148386,1,0.346540178571429,0.346540178571429,0.630452748148386
"25",0.990306627101879,0.768150346191889,34,85,0.760704378444431,1,0.517578125,0.517578125,0.760704378444431
"26",0.984802431610942,0.768996960486322,35,87.5,0.757310076588354,1,0.572972972972973,0.572972972972973,0.757310076588354
